,Database,Gene ID,Record Name,Amino Acids,Keywords,SimChrom
Q13469,Gene Ontology,NFAC2_HUMAN,"Nuclear factor of activated T-cells, cytoplasmic 2",925,3D-structure; Activator; Alternative splicing; Cytoplasm; DNA-binding;Nucleus; Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation; Ubl conjugation.,Regulation of transcription;DNA-binding transcription factors;DNA-templated transcription
Q14684,BioGRID,RRP1B_HUMAN,Ribosomal RNA processing protein 1 homolog B,758,3D-structure; Acetylation; Activator; Alternative splicing; Apoptosis;Chromosome; Citrullination; Host-virus interaction; mRNA processing;mRNA splicing; Nucleus; Phosphoprotein; Reference proteome; Transcription;Transcription regulation.,Euchromatin-associated;Heterochromatin-associated
P19484,Gene Ontology,TFEB_HUMAN,Transcription factor EB {ECO:0000303|PubMed:2115126},476,3D-structure; Activator; Adaptive immunity; Alternative splicing;Autophagy; Cytoplasm; DNA-binding; Immunity; Lysosome; Membrane; Nucleus;Phosphoprotein; Reference proteome; Transcription;Transcription regulation; Ubl conjugation.,DNA-binding transcription factors
P49591,Gene Ontology,SYSC_HUMAN,"Serine--tRNA ligase, cytoplasmic",514,3D-structure; Acetylation; Aminoacyl-tRNA synthetase; ATP-binding;Cytoplasm; Disease variant; DNA-binding; Epilepsy; Intellectual disability;Ligase; Nucleotide-binding; Nucleus; Phosphoprotein; Protein biosynthesis;Reference proteome; Transcription; Transcription regulation.,
Q8IVI9,Gene Ontology,NOSTN_HUMAN,Nostrin {ECO:0000305},506,3D-structure; Alternative splicing; Cell membrane; Coiled coil; Cytoplasm;Cytoplasmic vesicle; Cytoskeleton; Endocytosis; Membrane; Nucleus;Phosphoprotein; Reference proteome; SH3 domain.,
P59998,BioGRID,ARPC4_HUMAN,Actin-related protein 2/3 complex subunit 4,168,3D-structure; Acetylation; Actin-binding; Alternative splicing;Cell projection; Cytoplasm; Cytoskeleton; Direct protein sequencing;Disease variant; Intellectual disability; Nucleus; Reference proteome.,
P02790,BioGRID,HEMO_HUMAN,Hemopexin,462,Direct protein sequencing; Disulfide bond; Glycoprotein; Heme;Host-virus interaction; Iron; Metal-binding; Reference proteome; Repeat;Secreted; Signal; Transport.,
P31749,BioGRID,AKT1_HUMAN,RAC-alpha serine/threonine-protein kinase,480,3D-structure; Acetylation; Alternative splicing; Apoptosis; ATP-binding;Carbohydrate metabolism; Cell membrane; Cytoplasm; Developmental protein;Disease variant; Disulfide bond; Glucose metabolism; Glycogen biosynthesis;Glycogen metabolism; Glycoprotein; Isopeptide bond; Kinase; Membrane;Neurogenesis; Nucleotide-binding; Nucleus; Phosphoprotein; Proto-oncogene;Reference proteome; Serine/threonine-protein kinase; Sugar transport;Transferase; Translation regulation; Transport; Ubl conjugation.,
O95238,Gene Ontology,SPDEF_HUMAN,SAM pointed domain-containing Ets transcription factor,335,3D-structure; Activator; Alternative splicing; DNA-binding; Nucleus;Reference proteome; Transcription; Transcription regulation.,DNA-binding transcription factors;DNA-templated transcription
P09211,BioGRID,GSTP1_HUMAN,Glutathione S-transferase P {ECO:0000305},210,3D-structure; Acetylation; Cytoplasm; Direct protein sequencing;Lipid metabolism; Mitochondrion; Nucleus; Phosphoprotein;Reference proteome; Transferase.,
Q96KC8,Gene Ontology,DNJC1_HUMAN,DnaJ homolog subfamily C member 1,554,3D-structure; Chaperone; DNA-binding; Endoplasmic reticulum; Membrane;Microsome; Nucleus; Phosphoprotein; Reference proteome; Repeat; Signal;Transmembrane; Transmembrane helix.,
O75487,BioGRID,GPC4_HUMAN,Secreted glypican-4,556,Alternative splicing; Cell membrane; Deafness; Disease variant;Glycoprotein; GPI-anchor; Heparan sulfate; Intellectual disability;Lipoprotein; Membrane; Phosphoprotein; Proteoglycan; Reference proteome;Secreted; Signal.,
Q8N201,BioGRID,INT1_HUMAN,Integrator complex subunit 1,2190,3D-structure; Acetylation; Disease variant; Intellectual disability;Membrane; Nucleus; Phosphoprotein; Reference proteome; Transmembrane;Transmembrane helix.,
O75165,BioGRID,DJC13_HUMAN,DnaJ homolog subfamily C member 13,2243,Acetylation; Chaperone; Disease variant; Endosome; Membrane;Neurodegeneration; Parkinson disease; Parkinsonism; Protein transport;Reference proteome; Transport.,
P61011,BioGRID,SRP54_HUMAN,Signal recognition particle subunit SRP54,504,3D-structure; Alternative splicing; Cytoplasm; Disease variant;Endoplasmic reticulum; GTP-binding; Hydrolase; Nucleotide-binding; Nucleus;Reference proteome; Ribonucleoprotein; RNA-binding;Signal recognition particle.,
P67809,Gene Ontology,YBOX1_HUMAN,Y-box-binding protein 1 {ECO:0000303|PubMed:10817758},324,3D-structure; Acetylation; Activator; Cytoplasm; Direct protein sequencing;DNA-binding; Isopeptide bond; Mitogen; mRNA processing; mRNA splicing;Nucleus; Phosphoprotein; Reference proteome; Repressor; RNA-binding;Secreted; Transcription; Transcription regulation; Ubl conjugation.,RNA processing
P54278,Gene Ontology,PMS2_HUMAN,Mismatch repair endonuclease PMS2 {ECO:0000305},862,3D-structure; Alternative splicing; ATP-binding; Disease variant;DNA damage; DNA repair; DNA-binding; Endonuclease;Hereditary nonpolyposis colorectal cancer; Hydrolase; Nuclease;Nucleotide-binding; Nucleus; Phosphoprotein; Reference proteome;Tumor suppressor.,DNA repair;DNA-modifying enzymes
P46063,Gene Ontology,RECQ1_HUMAN,"ATP-dependent DNA helicase Q1 {ECO:0000305|PubMed:7527136, ECO:0000305|PubMed:8056767}",649,3D-structure; Acetylation; ATP-binding; Direct protein sequencing;Disease variant; DNA-binding; Helicase; Hydrolase; Isomerase;Metal-binding; Nucleotide-binding; Nucleus; Phosphoprotein;Reference proteome; Zinc.,DNA replication;DNA repair;DNA-modifying enzymes
Q12772,Gene Ontology,SRBP2_HUMAN,Processed sterol regulatory element-binding protein 2 {ECO:0000305},1141,3D-structure; Activator; Alternative splicing; Cholesterol metabolism;Cytoplasmic vesicle; Direct protein sequencing; DNA-binding;Endoplasmic reticulum; Golgi apparatus; Isopeptide bond; Lipid metabolism;Membrane; Nucleus; Phosphoprotein; Reference proteome; Steroid metabolism;Sterol metabolism; Transcription; Transcription regulation; Transmembrane;Transmembrane helix; Ubl conjugation.,DNA-binding transcription factors
P84098,BioGRID,RL19_HUMAN,Large ribosomal subunit protein eL19 {ECO:0000303|PubMed:24524803},196,3D-structure; Citrullination; Cytoplasm; Direct protein sequencing;Isopeptide bond; Phosphoprotein; Reference proteome; Ribonucleoprotein;Ribosomal protein; Ubl conjugation.,
Q13084,BioGRID,RM28_HUMAN,Large ribosomal subunit protein bL28m {ECO:0000303|PubMed:25278503},256,3D-structure; Mitochondrion; Reference proteome; Ribonucleoprotein;Ribosomal protein; Transit peptide.,
Q13242,BioGRID,SRSF9_HUMAN,Serine/arginine-rich splicing factor 9,221,Isopeptide bond; mRNA processing; mRNA splicing; Nucleus; Phosphoprotein;Reference proteome; Repeat; Repressor; RNA-binding; Ubl conjugation.,RNA processing
P23769,Gene Ontology,GATA2_HUMAN,Endothelial transcription factor GATA-2,480,3D-structure; Activator; Alternative splicing; Disease variant;DNA-binding; Isopeptide bond; Metal-binding; Methylation; Nucleus;Phagocytosis; Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation; Ubl conjugation; Zinc; Zinc-finger.,DNA-binding transcription factors;DNA-templated transcription;Pioneer TFs
O00541,BioGRID,PESC_HUMAN,Pescadillo homolog {ECO:0000255|HAMAP-Rule:MF_03028},588,3D-structure; Acetylation; Alternative splicing; Chromosome;Isopeptide bond; Nucleus; Reference proteome; Ribosome biogenesis;rRNA processing; Ubl conjugation.,Preribosome-associated
P41225,BioGRID,SOX3_HUMAN,Transcription factor SOX-3,446,Developmental protein; Disease variant; DNA-binding;Intellectual disability; Nucleus; Reference proteome; Transcription;Transcription regulation.,DNA-binding transcription factors;Other families with HMG-box domain
P43268,Gene Ontology,ETV4_HUMAN,ETS translocation variant 4,484,3D-structure; Activator; Alternative splicing; DNA-binding;Isopeptide bond; Nucleus; Phosphoprotein; Reference proteome;Transcription; Transcription regulation; Ubl conjugation.,DNA-binding transcription factors
Q8IV63,BioGRID,VRK3_HUMAN,Serine/threonine-protein kinase VRK3,474,3D-structure; Alternative splicing; Cytoplasm; Nucleotide-binding; Nucleus;Phosphoprotein; Reference proteome; Transferase; Ubl conjugation.,
Q5TGY3,BioGRID,AHDC1_HUMAN,Transcription factor Gibbin {ECO:0000303|PubMed:35585237},1603,Acetylation; Activator; Chromosome; Developmental protein; Differentiation;Disease variant; DNA-binding; Intellectual disability; Isopeptide bond;Methylation; Nucleus; Phosphoprotein; Reference proteome; Repeat;Transcription; Transcription regulation; Ubl conjugation.,
Q9NWU2,BioGRID,GID8_HUMAN,Glucose-induced degradation protein 8 homolog,228,3D-structure; Cytoplasm; Nucleus; Reference proteome; Ubl conjugation;Wnt signaling pathway.,
P10644,BioGRID,KAP0_HUMAN,cAMP-dependent protein kinase type I-alpha regulatory subunit,381,3D-structure; Acetylation; Alternative splicing; cAMP; cAMP-binding;Cell membrane; Cushing syndrome; Direct protein sequencing;Disease variant; Disulfide bond; Membrane; Nucleotide-binding;Phosphoprotein; Reference proteome; Repeat.,
P28715,Gene Ontology,ERCC5_HUMAN,DNA excision repair protein ERCC-5 {ECO:0000305},1186,3D-structure; Acetylation; Alternative splicing; Chromosome;Cockayne syndrome; Deafness; Disease variant; DNA damage; DNA repair;DNA-binding; Dwarfism; Endonuclease; Hydrolase; Magnesium; Metal-binding;Nuclease; Nucleus; Phosphoprotein; Reference proteome;Xeroderma pigmentosum.,DNA repair;DNA-modifying enzymes
Q7Z6M4,Gene Ontology,MTEF4_HUMAN,mTERF domain-containing protein 2 processed,381,3D-structure; Direct protein sequencing; Mitochondrion; Reference proteome;Repeat; RNA-binding; rRNA processing; Transit peptide.,
O95639,Gene Ontology,CPSF4_HUMAN,Cleavage and polyadenylation specificity factor subunit 4,269,3D-structure; Alternative splicing; Host-virus interaction; Metal-binding;mRNA processing; Nucleus; Phosphoprotein; Reference proteome; Repeat;RNA-binding; Zinc; Zinc-finger.,
Q9Y2M0,Gene Ontology,FAN1_HUMAN,"Fanconi-associated nuclease 1 {ECO:0000303|PubMed:20603015, ECO:0000303|PubMed:20603016, ECO:0000303|PubMed:20671156}",1017,3D-structure; Alternative splicing; Coiled coil; Disease variant;DNA damage; DNA repair; Endonuclease; Exonuclease; Hydrolase; Magnesium;Manganese; Metal-binding; Nuclease; Nucleus; Phosphoprotein;Reference proteome; Ubl conjugation; Zinc; Zinc-finger.,DNA repair;DNA-modifying enzymes
Q07869,Gene Ontology,PPARA_HUMAN,Peroxisome proliferator-activated receptor alpha,468,3D-structure; Activator; Alternative splicing; Biological rhythms;DNA-binding; Lipid-binding; Metal-binding; Nucleus; Receptor;Reference proteome; Transcription; Transcription regulation; Zinc;Zinc-finger.,Nuclear hormone receptors;DNA-binding transcription factors
Q9NRY4,Gene Ontology,RHG35_HUMAN,Rho GTPase-activating protein 35 {ECO:0000312|HGNC:HGNC:4591},1499,3D-structure; Cell membrane; Cell projection; Cytoplasm; Cytoskeleton;DNA-binding; GTP-binding; GTPase activation; Lipid-binding; Membrane;Nucleotide-binding; Nucleus; Phosphoprotein; Reference proteome; Repeat;Repressor; Transcription; Transcription regulation.,
Q9UKA9,BioGRID,PTBP2_HUMAN,Polypyrimidine tract-binding protein 2 {ECO:0000305},531,3D-structure; Acetylation; Alternative splicing; Direct protein sequencing;mRNA processing; mRNA splicing; Nucleus; Phosphoprotein;Reference proteome; Repeat; RNA-binding.,
P48643,BioGRID,TCPE_HUMAN,T-complex protein 1 subunit epsilon,541,3D-structure; Acetylation; Alternative splicing; ATP-binding; Chaperone;Cytoplasm; Cytoskeleton; Direct protein sequencing; Disease variant;Isopeptide bond; Neuropathy; Nucleotide-binding; Phosphoprotein;Reference proteome; Ubl conjugation.,
P01024,BioGRID,CO3_HUMAN,Complement C3c alpha' chain fragment 2,1663,3D-structure; Age-related macular degeneration;Cleavage on pair of basic residues; Complement alternate pathway;Complement pathway; Direct protein sequencing; Disease variant;Disulfide bond; Fatty acid metabolism; Glycoprotein;Hemolytic uremic syndrome; Immunity; Inflammatory response;Innate immunity; Lipid metabolism; Phosphoprotein; Reference proteome;Secreted; Signal; Thioester bond.,
P49959,Gene Ontology,MRE11_HUMAN,Double-strand break repair protein MRE11,708,3D-structure; Acetylation; Alternative splicing; Chromosome; Ciliopathy;Disease variant; DNA damage; DNA repair; Endonuclease; Exonuclease;Host-virus interaction; Hydrolase; Isopeptide bond; Manganese; Meiosis;Nuclease; Nucleus; Phosphoprotein; Reference proteome; Telomere;Ubl conjugation.,DNA replication;DNA repair;Telomere-associated;DNA recombination;DNA-modifying enzymes
P22670,Gene Ontology,RFX1_HUMAN,MHC class II regulatory factor RFX1,979,3D-structure; Activator; DNA-binding; Nucleus; Phosphoprotein;Reference proteome; Transcription; Transcription regulation.,DNA-binding transcription factors
Q5T4S7,BioGRID,UBR4_HUMAN,E3 ubiquitin-protein ligase UBR4,5183,3D-structure; Acetylation; Alternative splicing; Calmodulin-binding;Cytoplasm; Cytoskeleton; Direct protein sequencing; Host-virus interaction;Membrane; Metal-binding; Nucleus; Phosphoprotein; Reference proteome;Transferase; Transmembrane; Transmembrane helix; Ubl conjugation pathway;Zinc; Zinc-finger.,
Q03014,Gene Ontology,HHEX_HUMAN,Hematopoietically-expressed homeobox protein HHEX,270,3D-structure; Cytoplasm; Developmental protein; Differentiation;DNA-binding; Homeobox; Nucleus; Phosphoprotein; Reference proteome;Repressor; Transcription; Transcription regulation; Wnt signaling pathway.,DNA-binding transcription factors
P04792,BioGRID,HSPB1_HUMAN,Heat shock protein beta-1,205,3D-structure; Acetylation; Chaperone; Charcot-Marie-Tooth disease;Cytoplasm; Cytoskeleton; Direct protein sequencing; Disease variant;Host-virus interaction; Methylation; Neurodegeneration; Neuropathy;Nucleus; Phosphoprotein; Reference proteome; Stress response.,
Q96ST3,BioGRID,SIN3A_HUMAN,Paired amphipathic helix protein Sin3a,1273,Acetylation; Biological rhythms; Coiled coil; Disease variant; Dwarfism;Intellectual disability; Isopeptide bond; Nucleus; Phosphoprotein;Reference proteome; Repeat; Repressor; Transcription;Transcription regulation; Ubl conjugation.,DNA replication;Centromere-associated
P51398,BioGRID,RT29_HUMAN,Small ribosomal subunit protein mS29 {ECO:0000303|PubMed:25838379},398,3D-structure; Acetylation; Alternative splicing; Apoptosis; GTP-binding;Mitochondrion; Nucleotide-binding; Reference proteome; Ribonucleoprotein;Ribosomal protein; Transit peptide.,
O60828,Gene Ontology,PQBP1_HUMAN,"Polyglutamine-binding protein 1 {ECO:0000303|PubMed:10332029, ECO:0000303|PubMed:11163963}",265,3D-structure; Alternative splicing; Direct protein sequencing; Immunity;Innate immunity; Intellectual disability; mRNA processing; mRNA splicing;Nucleus; Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation.,RNA processing
Q9NWH9,BioGRID,SLTM_HUMAN,SAFB-like transcription modulator,1034,Acetylation; Alternative splicing; Apoptosis; Coiled coil;Direct protein sequencing; Isopeptide bond; Methylation; Nucleus;Phosphoprotein; Reference proteome; Repressor; RNA-binding; Transcription;Transcription regulation; Ubl conjugation.,
P28749,Gene Ontology,RBL1_HUMAN,Retinoblastoma-like protein 1,1068,3D-structure; Alternative splicing; Cell cycle; Chromatin regulator;Direct protein sequencing; Host-virus interaction; Nucleus; Phosphoprotein;Reference proteome; Repressor; Transcription; Transcription regulation;Tumor suppressor.,
Q9NZH8,BioGRID,IL36G_HUMAN,Interleukin-36 gamma,169,3D-structure; Alternative splicing; Cytokine; Cytoplasm; Immunity;Inflammatory response; Innate immunity; Reference proteome; Secreted.,
P46100,Gene Ontology,ATRX_HUMAN,Transcriptional regulator ATRX,2492,3D-structure; Acetylation; Alternative splicing; ATP-binding;Chromatin regulator; Chromosome; Disease variant; DNA damage; DNA repair;DNA-binding; Helicase; Hydrolase; Intellectual disability; Isopeptide bond;Metal-binding; Methylation; Nucleotide-binding; Nucleus; Phosphoprotein;Reference proteome; Telomere; Transcription; Transcription regulation;Ubl conjugation; Zinc; Zinc-finger.,Histone PTM readers;Chromatin remodelers;DNA replication;Centromere-associated;Telomere-associated;Heterochromatin-associated;DNA-modifying enzymes;DNA-templated transcription;Histone chaperones
Q9BYD3,BioGRID,RM04_HUMAN,Large ribosomal subunit protein uL4m {ECO:0000303|PubMed:25278503},311,3D-structure; Alternative splicing; Methylation; Mitochondrion;Reference proteome; Ribonucleoprotein; Ribosomal protein.,
O75475,Gene Ontology,PSIP1_HUMAN,PC4 and SFRS1-interacting protein,530,3D-structure; Alternative splicing; Chromosomal rearrangement;Citrullination; Coiled coil; Direct protein sequencing; DNA-binding;Host-virus interaction; Isopeptide bond; Nucleus; Phosphoprotein;Reference proteome; Transcription; Transcription regulation;Ubl conjugation.,Euchromatin-associated;RNA processing
Q09472,Gene Ontology,EP300_HUMAN,Histone acetyltransferase p300 {ECO:0000305},2414,3D-structure; Acetylation; Acyltransferase; Biological rhythms;Bromodomain; Cell cycle; Chromosomal rearrangement; Chromosome;Citrullination; Cytoplasm; Direct protein sequencing; Disease variant;Host-virus interaction; Intellectual disability; Isopeptide bond;Metal-binding; Methylation; Nucleus; Phosphoprotein; Reference proteome;Repeat; Transcription; Transcription regulation; Transferase;Ubl conjugation; Zinc; Zinc-finger.,Histone modification;Histone PTM writers;DNA-templated transcription
